label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;subcooling;subcooling_set;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
Kondensator;condenser;[];[];[];[];[];['ttd_u', 'pr1', 'pr2'];['kA', 'zeta1', 'zeta2'];nan;False;False;-160268210.9669379;False;False;23607943.923114985;False;False;6.788740751371248;False;False;5.000000000016996;True;False;8.960379028837792;False;False;1.0;True;False;1.0;True;False;0.0;False;False;0.0;False;False;False;False;nan;False;0x000002274FC39730;False;m;0x000002274FC30C70;False;m;-530495.5476277443;False;543050.8714585458;False;12555.323830801528;False
dh heater 1;condenser;['heat'];['Q'];[-20000000.000000007];['0x000002274FC30E80'];['component'];['ttd_u', 'pr1', 'pr2'];['kA', 'zeta1', 'zeta2'];nan;False;False;-20000000.000000007;True;False;748179.1120238092;False;False;26.731566918381905;False;False;5.000000000001535;True;False;78.66620269642897;False;False;0.99;True;False;0.99;True;False;109.08799437588746;False;False;2877.771890936891;False;False;False;False;nan;False;0x000002274FC39160;False;m;0x000002274FC393A0;False;m;-49682.483033086384;False;55715.68523813892;False;6033.202205052534;False
