label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
valve 1;valve;[];[];[];[];[];[];[];nan;False;False;0.8743102668261035;False;False;837.8508490419542;False;False;0x000002274FC39190;False;m;540.8215077062193;False
valve 2;valve;[];[];[];[];[];[];[];nan;False;False;0.015404157973467102;False;False;1321.7669299504198;False;False;0x000002274FC39AF0;False;m;1692.6718948230935;False
