id;type;x;y;extrapolate
0x000001AED8380080;char_line;[0.0, 0.0833, 0.25, 0.5, 0.75, 1.0, 1.333];[1.1, 1.075, 1.05, 1.025, 1.01, 1.0, 0.99];False
0x000001AED83800B8;char_line;[0.49, 0.55782, 0.62612, 0.69418, 0.76132, 0.82682, 0.89, 0.95016, 1.0, 1.04326, 1.07753, 1.10916, 1.13795, 1.16365, 1.18604, 1.2049, 1.22];[0.78, 0.82066, 0.86025, 0.89742, 0.93083, 0.95914, 0.981, 0.99507, 1.0, 0.99733, 0.98913, 0.97496, 0.95435, 0.92687, 0.89205, 0.84944, 0.79859];False
0x000001AED82E5B70;char_line;[0.0, 3.0];[1.0, 1.0];False
0x000001AED6F61358;char_line;[0.2, 0.4, 0.6, 0.8, 1.0, 1.1];[0.85, 0.93, 0.95, 0.96, 0.97, 0.96];False
