label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;Sirr;Sirr_set
compressor 1;compressor;['total power bus'];[None];[8932417.843277967];['0x000001E6BD22C400'];['component'];['eta_s'];['eta_s_char'];nan;False;False;8932417.843277967;False;False;0.8500000000000016;True;False;0x000001E6BD23D898;False;m;4.713586427489841;False;False;0;False;False;0x000001E6BD23D128;False;nan;3266.7729948422316;False
compressor 2;compressor;['total power bus'];[None];[5773901.535575876];['0x000001E6BD22C400'];['component'];['eta_s'];['eta_s_char'];nan;False;False;5773901.535575876;False;False;0.9000000000000081;True;False;0x000001E6BD23D978;False;m;2.9999999999999996;True;False;0;False;False;0x000001E6BD23D3C8;False;nan;1341.6377966650423;False
